Tagging;message;response
Ketersediaan;Saya mau beli hape xiaomi redmi 5 plus masih ready stock?;Masih kak silahkan diorder
Ketersediaan;Untuk warna tinggal sisa apa aja ya?;Tinggal sisa hitam dan putih saja
"Ketersediaan;Oh kalo produk yang setara dengan redmi 5 plus dan ram 4gb ada apa ya?;Untuk produk yang setara dan baru keluar kami punya redmi note 5a, hanya saja harus menambah sekitar 200 ribu"
Harga;Gan iphone x yang 256 harganya masih bisa dinego ga?;wah sudah nett kak harganya soalnya garansi kita resmi dari applenya
"Promo;Wah udah nett ya, kalo misalnya dibonusin aksesoris boleh ga?;Paling kita bisa kasih case aja kak untuk bonus aksesorisnya"
Ketersediaan;J2 pro blue silver ready gan?;ready gan. silahkan diorder
"Pengiriman;bisa gosend kan gan?;bisa gan. order masuk lgsg diproses, kecuali kl sdh lwt jam 4 sore. krn ada batas maks pickup dr sistemnya smp jam 4 sore saja"
Harga;Samsung galaxy note 9 masih bisa nego?;Silahkan dinego
"Harga;10 juta boleh?;Wah masih belom dapet kak kalo segitu, palingan kita bisa ngasih kalo 11,5 juta"
Ketersediaan;Galaxy J2 Prime Black ready? Bs gosend?;absolute black ready gan. bisa gosend. besok lgsg dikirim. 
"Pengiriman;Sip.. aman kan ya by gosend?;aman gan. ada asuransinya jg kok. jd kl smp amit2 knp2, akan diganti oleh tokopedia"
Ketersediaan;Gan saya mau order razer phonenya apakah masih tersedia;Mohon maaf gan untuk semua razer phone kita udh sold out
"Spesifikasi;Waduh udah sold out ya gan, kalo yang setara ama razer phone apa ya gan;Kalo untuk yang setara ama razer phone kami gapunya gan, soalnya razer phone khusus untuk gaming"
Ketersediaan;black 2 pcs ready?;absolute black 2unit ready gan. silahkan diorder..
Lainnya;Gold ada? Bs kirim lsg skr pakai gojek? Ini ram 2?;ada sis. iya ini yg ram 2gb. bisa gojek skrg. silahkan diorder..
Ketersediaan;Gan untuk poccophone kira kira kapan stok lagi ya?;Untuk restock kami belum bisa memastikan kapan bisa dilakukan
Lainnya;Biasanya restock barang berapa lama gan?;Kami biasanya melakukan restock sekitar 1 bulan
"Lainnya;Wah lama juga ya, kalau sudah restock bisa dikabari gan?;Silahkan masukan produk kami kedalam daftar favorit anda"
Promo;Gan untuk produk asus zenfone max apakah ada diskon;zenfone max sedang tidak ada diskon gan
Lainnya;Oke gan nanti kalo saya bingung boleh ya tanya tanya;Silahkan gan saya siap membantu
"Aftersales;Gan untuk pembelian hape redmi 4x ada cacat dibagian layarnya, apakah bisa diretur?;Cacatnya bagaimana ya gan?"
Aftersales;Kira kira berapa lama proses returnya ya?;Maksimal dua minggu tapi biasanya dalam waktu satu minggu barang baru sudah ada di tangan agan
"Lainnya;Gan ini kan saya memesan hape redmi 5 plus tapi kenapa yang sampai redmi 5a ya?;Mohon maaf atas kesalahan yang kami lakukan, untuk melakukan pengembalian barang silahkan kirim kembali barang yang diterima ke alamat kami setelah itu silahkan sertakan resi pengiriman yang dilakukan"
Aftersales;Proses penggantiannya berapa lama ya kira kira;Maksimal penggantian sekitar dua minggu tapi rata rata pengembalian sekitar 1 minggu tergantung dari jasa ekspedisi yang dipakai
Pengiriman;Saya mau paket saya dikirim pake paket yang besok sampai bisa?;Bisa tetapi ongkos kirim selain reguler ditanggung oleh pelanggan
Ketersediaan;Gan redmi 5a masih tersedia?;Masih gan silahkan diorder
"Ketersediaan;Kalo warnanya sisa apaan aja gan?;Warna masih lengkap all variant, ada hitam, silver, dan rose gold"
"Pengiriman;Oke saya order ya gan, pakai ekspedisi JNE YES bisa gan?;Bisa gan silahkan diorder dan pilih jasa ekspedisi yang diinginkan"
Lainnya;Gan saya baru bisa bayar setelah jam 12 siang apakah masih bisa dilakukan transaksinya?;Masih bisa gan tetapi diatas jam 12 siang pengiriman barang akan dilakukan pada hari berikutnya
"Pengiriman;Oke terimakasih gan, apakah pengiriman hape menggunakan asuransi?;Sama sama gan, untuk produk yang kami kirim menggunakan asuransi pengiriman dari ekspedisi."
"Aftersales;Gan untuk kriteria hape yang bisa dilakukan retur apa saja ya?;Untuk barang yang bisa diretur kriterianya adalah cacat yang disebabkan karena kesalahan produksi, seperti komponen yang kurang, layar yang rusak saat dilakukan unboxing, maupun kecacatan lainnya yang ditemukan sesaat setelah unboxing produk"
"Aftersales;Untuk pengembalian barang maksimal dilakukan berapa hari setelah diterima ya gan;Untuk pengembalian barang kami memberi batas waktu 2 hari setelah barang diterima dengan bukti yaitu resi pengiriman barang, jika melebihi dari 2 hari kami tidak bisa melakukan retur barang"
Lainnya;Kalau saya terlanjur mengirim barang setelah 2 hari bagaimana ya gan?;Barang yang kami terima akan kami langsung kembalikan kepada agan selaku pembeli barang
Promo;Gan untuk pembelian asus zenfone maxnya dapet bonus ga?;Untuk pembelian asus zenfone maxnya kali ini belum ada promo
Harga;Kalo nego bisa ga nih gan?;Silahkan dinego
Harga;satu juta dapet ga nih gan?;waduh belum dapet kalo segitu
"Lainnya;berapa nih bisanya gan?;1,5 deh udah paling murah"
"Promo;1,5 bonus powerbank bisa ga gan?;waduh gabisa nih udah paling murah"
"Harga;Gan ini iphone x original kok lebih murah dari pasaran ya?;Barang yang kami jual semuanya orginal, lebih rah dari pasaran karena kami menggunakan garansi distributor"
Aftersales;Kalau garansi distributor apakah bisa meminta klaim jika ditemukan kecacatan pada produk?;Bisa melakukan klaim asal menemukan toko yang memiliki garansi distributor dari kami
Aftersales;Garansi distributornya menggunakan apa ya?;Untuk garansi distributor yang kami gunakan adalah bless
Aftersales;Apakah proses klaimnya sama dengan garansi sejenis tam?;Proses klaim sama dengan garansi lainnya
"Aftersales;Gan ini kok packagingnya rusak begini, apakah hapenya bisa dilakukan pengembalian jika bermasalah;Bisa gan ini murni kesalahan kami, jika memang terdapat cacat silahkan kirim barangnya ke alamat kami beserta resi pengembalian barang"
Aftersales;Untuk jasa ekspedisi untuk pengembalian barang apakah ada persyaratan khusus?;Tidak ada silahkan gunakan jasa ekspedisi sesuai dengan keinginan agan
Pengiriman;Apakah saya bisa request barang pengembalian yang dikirimkan menggunakan ekspedisi ekspres seperti JNE YES;Bisa tetapi ongkos kirim ditanggung oleh agan
Aftersales;Misi gan untuk hape samsung galaxy note 9 memakai garansi apa ya?;Untuk semua produk samsung kami menggunakan garansi milik TAM
Aftersales;Kalo begitu berarti saya bisa mengajukan garansi ke semua gerai yang memiliki TAM?;iya betul tinggal tunjukan saja kartu garansinya ke gerai yang menyediakan garansi TAM
Harga;Gan oppo f1 plusnya bisa nego;Silahkan dinego
"Harga;3,5 juta dapet ga?;mohon maaf gan 3,5 juta belom dapet kalo oppo f1 plus"
"Ketersediaan;Vivo v7 ready stok warna apa saja gan? Thx;Ready, Silakan order gan"
Harga;harganya nggak kurang lagi gan?;harga pass gan
"Spesifikasi;V7 ada flash depan.y gk ka;sudah gan, scree flash gan"
Ketersediaan;Galaxy s8 black 3 unit ready?;ready sis. silahkan diorder..
Aftersales;garansi resmi ?;garansi resmi samsung indonesia sis..
"Ketersediaan;Permisi, saya lagi nyari iphone 6 masih ada?;Masih ada mas, yang berapa giga?"
Spesifikasi;kalo yang termurah yang berapa giga ya mas?;Kalo yang termurah yang 16giga mas
"Ketersediaan;Adanya warna apa aja nih mas?;Warna emas, hitam, sama silver mas"
"Ketersediaan;Permisi mas, pocophonenya ready stock gak ya?;Oh ready dong mas"
